,IPO_DATE,DELIST_DATE
000760.SZ,1997-06-27,1899-12-30
000761.SZ,1998-01-15,1899-12-30
000762.SZ,1997-07-08,1899-12-30
000766.SZ,1997-04-30,1899-12-30
000767.SZ,1997-06-09,1899-12-30
000768.SZ,1997-06-26,1899-12-30
000776.SZ,1997-06-11,1899-12-30
000777.SZ,1997-07-10,1899-12-30
000778.SZ,1997-06-06,1899-12-30
000779.SZ,1997-05-28,1899-12-30
000780.SZ,1997-06-06,1899-12-30
000782.SZ,1997-06-19,1899-12-30
000783.SZ,1997-07-31,1899-12-30
000785.SZ,1997-07-11,1899-12-30
000786.SZ,1997-06-06,1899-12-30
000788.SZ,1997-06-16,1899-12-30
000789.SZ,1997-09-23,1899-12-30
000790.SZ,1998-03-27,1899-12-30
000791.SZ,1997-10-14,1899-12-30
000792.SZ,1997-09-04,1899-12-30
000793.SZ,1997-07-29,1899-12-30
000795.SZ,1997-08-08,1899-12-30
000796.SZ,1997-07-03,1899-12-30
000797.SZ,1997-07-15,1899-12-30
000798.SZ,1998-02-12,1899-12-30
000799.SZ,1997-07-18,1899-12-30
000800.SZ,1997-06-18,1899-12-30
000801.SZ,1998-05-06,1899-12-30
000802.SZ,1998-01-08,1899-12-30
000803.SZ,1998-03-03,1899-12-30
000806.SZ,1998-04-16,1899-12-30
000807.SZ,1998-04-08,1899-12-30
000809.SZ,1998-06-16,1899-12-30
000810.SZ,1998-06-02,1899-12-30
000811.SZ,1998-05-28,1899-12-30
000812.SZ,1998-06-23,1899-12-30
000813.SZ,1998-05-19,1899-12-30
000815.SZ,1998-06-09,1899-12-30
000816.SZ,1997-08-18,1899-12-30
000818.SZ,1997-10-17,1899-12-30
000819.SZ,1997-06-25,1899-12-30
000820.SZ,1998-06-30,1899-12-30
000821.SZ,1998-06-26,1899-12-30
000822.SZ,1998-07-03,1899-12-30
000823.SZ,1997-10-08,1899-12-30
000825.SZ,1998-10-21,1899-12-30
000826.SZ,1998-02-25,1899-12-30
000828.SZ,1997-06-17,1899-12-30
000829.SZ,1997-12-02,1899-12-30
000830.SZ,1998-08-07,1899-12-30
000831.SZ,1998-09-11,1899-12-30
000833.SZ,1998-11-11,1899-12-30
000835.SZ,1999-06-25,1899-12-30
000836.SZ,1997-09-29,1899-12-30
000837.SZ,1998-09-28,1899-12-30
000838.SZ,1997-06-26,1899-12-30
000839.SZ,1997-10-31,1899-12-30
000848.SZ,1997-11-13,1899-12-30
000850.SZ,1998-10-07,1899-12-30
000851.SZ,1998-06-09,1899-12-30
000852.SZ,1998-11-26,1899-12-30
000856.SZ,1998-08-13,1899-12-30
000858.SZ,1998-04-27,1899-12-30
000859.SZ,1998-11-19,1899-12-30
000860.SZ,1998-11-04,1899-12-30
000861.SZ,1998-10-28,1899-12-30
000862.SZ,1998-09-15,1899-12-30
000863.SZ,1997-09-25,1899-12-30
000868.SZ,1997-07-25,1899-12-30
000869.SZ,2000-10-26,1899-12-30
