,IPO_DATE,DELIST_DATE
002876.SZ,2017-05-25,1899-12-30
002877.SZ,2017-06-05,1899-12-30
002878.SZ,2017-06-06,1899-12-30
002879.SZ,2017-07-07,1899-12-30
002880.SZ,2017-06-16,1899-12-30
002881.SZ,2017-06-22,1899-12-30
002882.SZ,2017-07-17,1899-12-30
002883.SZ,2017-06-20,1899-12-30
002884.SZ,2017-07-11,1899-12-30
002885.SZ,2017-06-27,1899-12-30
002886.SZ,2017-06-27,1899-12-30
002887.SZ,2017-08-01,1899-12-30
002888.SZ,2017-07-21,1899-12-30
002889.SZ,2017-07-31,1899-12-30
002890.SZ,2017-08-02,1899-12-30
002891.SZ,2017-08-21,1899-12-30
002892.SZ,2017-08-17,1899-12-30
002893.SZ,2017-09-15,1899-12-30
002895.SZ,2017-08-25,1899-12-30
002896.SZ,2017-08-29,1899-12-30
002897.SZ,2017-09-07,1899-12-30
002898.SZ,2017-09-12,1899-12-30
002899.SZ,2017-09-15,1899-12-30
002900.SZ,2017-09-22,1899-12-30
002901.SZ,2017-09-22,1899-12-30
002902.SZ,2017-09-29,1899-12-30
002903.SZ,2017-10-13,1899-12-30
002905.SZ,2017-10-16,1899-12-30
002906.SZ,2017-10-13,1899-12-30
002907.SZ,2017-10-20,1899-12-30
002908.SZ,2017-10-20,1899-12-30
002909.SZ,2017-10-26,1899-12-30
002910.SZ,2017-10-31,1899-12-30
002911.SZ,2017-11-22,1899-12-30
002912.SZ,2017-11-21,1899-12-30
002913.SZ,2017-12-01,1899-12-30
002915.SZ,2017-12-05,1899-12-30
002916.SZ,2017-12-13,1899-12-30
002917.SZ,2017-12-08,1899-12-30
002918.SZ,2017-12-19,1899-12-30
002919.SZ,2017-12-18,1899-12-30
002920.SZ,2017-12-26,1899-12-30
002921.SZ,2017-12-27,1899-12-30
002922.SZ,2017-12-29,1899-12-30
002923.SZ,2018-01-05,1899-12-30
002925.SZ,2018-01-15,1899-12-30
002926.SZ,2018-02-05,1899-12-30
002927.SZ,2018-02-23,1899-12-30
002928.SZ,2018-03-02,1899-12-30
002929.SZ,2018-03-01,1899-12-30
002930.SZ,2018-03-28,1899-12-30
002931.SZ,2018-04-03,1899-12-30
002932.SZ,2018-07-10,1899-12-30
002933.SZ,2018-08-28,1899-12-30
002935.SZ,2018-09-03,1899-12-30
002936.SZ,2018-09-19,1899-12-30
002937.SZ,2018-09-26,1899-12-30
002938.SZ,2018-09-18,1899-12-30
002939.SZ,2018-10-26,1899-12-30
002940.SZ,2018-10-23,1899-12-30
002941.SZ,2018-11-28,1899-12-30
002942.SZ,2018-12-05,1899-12-30
002943.SZ,2018-11-29,1899-12-30
002945.SZ,2019-01-17,1899-12-30
002946.SZ,2019-01-25,1899-12-30
002947.SZ,2019-02-01,1899-12-30
002948.SZ,2019-01-16,1899-12-30
002949.SZ,2019-02-26,1899-12-30
002950.SZ,2019-03-11,1899-12-30
002951.SZ,2019-03-15,1899-12-30
002952.SZ,2019-03-28,1899-12-30
002953.SZ,2019-05-09,1899-12-30
002955.SZ,2019-05-23,1899-12-30
002956.SZ,2019-06-19,1899-12-30
002957.SZ,2019-07-26,1899-12-30
002958.SZ,2019-03-26,1899-12-30
002959.SZ,2019-08-23,1899-12-30
002960.SZ,2019-08-09,1899-12-30
002961.SZ,2019-09-05,1899-12-30
002962.SZ,2019-09-17,1899-12-30
002963.SZ,2019-10-28,1899-12-30
002965.SZ,2019-10-25,1899-12-30
002966.SZ,2019-08-02,1899-12-30
002967.SZ,2019-11-08,1899-12-30
002968.SZ,2019-12-03,1899-12-30
002969.SZ,2019-12-02,1899-12-30
002970.SZ,2019-12-17,1899-12-30
002971.SZ,2020-01-13,1899-12-30
002972.SZ,2019-12-27,1899-12-30
002973.SZ,2020-01-06,1899-12-30
002975.SZ,2020-02-05,1899-12-30
002976.SZ,2020-03-06,1899-12-30
002977.SZ,2020-03-17,1899-12-30
002978.SZ,2020-04-17,1899-12-30
002979.SZ,2020-04-08,1899-12-30
002980.SZ,2020-04-15,1899-12-30
002981.SZ,2020-04-17,1899-12-30
002982.SZ,2020-04-24,1899-12-30
002983.SZ,2020-04-28,1899-12-30
002984.SZ,2020-09-11,1899-12-30
002985.SZ,2020-04-29,1899-12-30
002986.SZ,2020-06-02,1899-12-30
002987.SZ,2020-05-07,1899-12-30
002988.SZ,2020-05-18,1899-12-30
002989.SZ,2020-06-10,1899-12-30
002990.SZ,2020-05-25,1899-12-30
002991.SZ,2020-07-31,1899-12-30
002992.SZ,2020-08-03,1899-12-30
002993.SZ,2020-08-17,1899-12-30
002995.SZ,2020-08-05,1899-12-30
002996.SZ,2020-08-28,1899-12-30
002997.SZ,2020-09-03,1899-12-30
002998.SZ,2020-09-25,1899-12-30
002999.SZ,2020-09-03,1899-12-30
003000.SZ,2020-09-14,1899-12-30
003001.SZ,2020-10-13,1899-12-30
003002.SZ,2020-09-22,1899-12-30
003003.SZ,2020-09-21,1899-12-30
003004.SZ,2020-11-26,1899-12-30
003005.SZ,2020-09-22,1899-12-30
003006.SZ,2020-09-21,1899-12-30
003007.SZ,2020-09-23,1899-12-30
003008.SZ,2020-09-23,1899-12-30
003009.SZ,2020-09-25,1899-12-30
003010.SZ,2020-09-25,1899-12-30
003011.SZ,2020-09-30,1899-12-30
003012.SZ,2020-10-19,1899-12-30
003013.SZ,2020-10-22,1899-12-30
003015.SZ,2020-10-21,1899-12-30
003016.SZ,2020-10-26,1899-12-30
003017.SZ,2020-10-26,1899-12-30
003018.SZ,2020-11-06,1899-12-30
003019.SZ,2020-11-17,1899-12-30
003020.SZ,2020-12-15,1899-12-30
003021.SZ,2020-12-04,1899-12-30
003022.SZ,2020-12-08,1899-12-30
003023.SZ,2020-12-11,1899-12-30
003025.SZ,2020-12-11,1899-12-30
003026.SZ,2020-12-18,1899-12-30
003027.SZ,2020-12-18,1899-12-30
003028.SZ,2020-12-28,1899-12-30
003029.SZ,2020-12-24,1899-12-30
003031.SZ,2021-01-04,1899-12-30
003816.SZ,2019-08-26,1899-12-30
300001.SZ,2009-10-30,1899-12-30
300002.SZ,2009-10-30,1899-12-30
300003.SZ,2009-10-30,1899-12-30
300004.SZ,2009-10-30,1899-12-30
300005.SZ,2009-10-30,1899-12-30
300006.SZ,2009-10-30,1899-12-30
300007.SZ,2009-10-30,1899-12-30
300008.SZ,2009-10-30,1899-12-30
300009.SZ,2009-10-30,1899-12-30
300010.SZ,2009-10-30,1899-12-30
300011.SZ,2009-10-30,1899-12-30
300012.SZ,2009-10-30,1899-12-30
300013.SZ,2009-10-30,1899-12-30
300014.SZ,2009-10-30,1899-12-30
300015.SZ,2009-10-30,1899-12-30
300016.SZ,2009-10-30,1899-12-30
300017.SZ,2009-10-30,1899-12-30
300018.SZ,2009-10-30,1899-12-30
300019.SZ,2009-10-30,1899-12-30
300020.SZ,2009-10-30,1899-12-30
300021.SZ,2009-10-30,1899-12-30
300022.SZ,2009-10-30,1899-12-30
300023.SZ,2009-10-30,1899-12-30
300024.SZ,2009-10-30,1899-12-30
300025.SZ,2009-10-30,1899-12-30
300026.SZ,2009-10-30,1899-12-30
300027.SZ,2009-10-30,1899-12-30
300028.SZ,2009-10-30,2020-08-03
300029.SZ,2009-12-25,1899-12-30
300030.SZ,2009-12-25,1899-12-30
300031.SZ,2009-12-25,1899-12-30
300032.SZ,2009-12-25,1899-12-30
300033.SZ,2009-12-25,1899-12-30
300034.SZ,2009-12-25,1899-12-30
300035.SZ,2009-12-25,1899-12-30
300036.SZ,2009-12-25,1899-12-30
300037.SZ,2010-01-08,1899-12-30
300038.SZ,2010-01-08,1899-12-30
300039.SZ,2010-01-08,1899-12-30
300040.SZ,2010-01-08,1899-12-30
300041.SZ,2010-01-08,1899-12-30
300042.SZ,2010-01-08,1899-12-30
300043.SZ,2010-01-20,1899-12-30
300044.SZ,2010-01-20,1899-12-30
300045.SZ,2010-01-20,1899-12-30
300046.SZ,2010-01-20,1899-12-30
300047.SZ,2010-01-20,1899-12-30
300048.SZ,2010-01-20,1899-12-30
300049.SZ,2010-01-20,1899-12-30
300050.SZ,2010-01-20,1899-12-30
300051.SZ,2010-02-11,1899-12-30
300052.SZ,2010-02-11,1899-12-30
300053.SZ,2010-02-11,1899-12-30
300054.SZ,2010-02-11,1899-12-30
300055.SZ,2010-02-26,1899-12-30
300056.SZ,2010-02-26,1899-12-30
300057.SZ,2010-02-26,1899-12-30
300058.SZ,2010-02-26,1899-12-30
300059.SZ,2010-03-19,1899-12-30
300061.SZ,2010-03-19,1899-12-30
300062.SZ,2010-03-19,1899-12-30
300063.SZ,2010-03-26,1899-12-30
300064.SZ,2010-03-26,1899-12-30
300065.SZ,2010-03-26,1899-12-30
300066.SZ,2010-03-26,1899-12-30
300067.SZ,2010-04-21,1899-12-30
300068.SZ,2010-04-21,1899-12-30
300069.SZ,2010-04-21,1899-12-30
300070.SZ,2010-04-21,1899-12-30
300071.SZ,2010-04-21,1899-12-30
300072.SZ,2010-04-27,1899-12-30
300073.SZ,2010-04-27,1899-12-30
300074.SZ,2010-04-27,1899-12-30
300075.SZ,2010-04-27,1899-12-30
300076.SZ,2010-04-30,1899-12-30
300077.SZ,2010-04-30,1899-12-30
300078.SZ,2010-04-30,1899-12-30
300079.SZ,2010-04-30,1899-12-30
300080.SZ,2010-06-25,1899-12-30
300081.SZ,2010-05-20,1899-12-30
300082.SZ,2010-05-20,1899-12-30
300083.SZ,2010-05-20,1899-12-30
300084.SZ,2010-05-20,1899-12-30
300085.SZ,2010-05-26,1899-12-30
300086.SZ,2010-05-26,1899-12-30
300087.SZ,2010-05-26,1899-12-30
300088.SZ,2010-05-26,1899-12-30
300089.SZ,2010-06-25,1899-12-30
300090.SZ,2010-06-25,2020-08-25
300091.SZ,2010-06-25,1899-12-30
300092.SZ,2010-07-08,1899-12-30
300093.SZ,2010-07-08,1899-12-30
300094.SZ,2010-07-08,1899-12-30
300095.SZ,2010-07-28,1899-12-30
300096.SZ,2010-07-28,1899-12-30
300097.SZ,2010-07-28,1899-12-30
300098.SZ,2010-07-28,1899-12-30
300099.SZ,2010-08-06,1899-12-30
300100.SZ,2010-08-06,1899-12-30
300101.SZ,2010-08-06,1899-12-30
300102.SZ,2010-08-12,1899-12-30
300103.SZ,2010-08-12,1899-12-30
300104.SZ,2010-08-12,2020-07-21
300105.SZ,2010-08-20,1899-12-30
300106.SZ,2010-08-20,1899-12-30
300107.SZ,2010-08-20,1899-12-30
300108.SZ,2010-08-25,1899-12-30
300109.SZ,2010-08-25,1899-12-30
300110.SZ,2010-08-25,1899-12-30
300111.SZ,2010-08-27,1899-12-30
300112.SZ,2010-08-27,1899-12-30
300113.SZ,2010-08-27,1899-12-30
300114.SZ,2010-08-27,1899-12-30
300115.SZ,2010-09-02,1899-12-30
300116.SZ,2010-09-02,1899-12-30
300117.SZ,2010-09-02,1899-12-30
300118.SZ,2010-09-02,1899-12-30
300119.SZ,2010-09-17,1899-12-30
300120.SZ,2010-09-17,1899-12-30
300121.SZ,2010-09-17,1899-12-30
300122.SZ,2010-09-28,1899-12-30
300123.SZ,2010-09-28,1899-12-30
300124.SZ,2010-09-28,1899-12-30
300125.SZ,2010-10-13,1899-12-30
300126.SZ,2010-10-13,1899-12-30
300127.SZ,2010-10-13,1899-12-30
300128.SZ,2010-10-13,1899-12-30
300129.SZ,2010-10-19,1899-12-30
300130.SZ,2010-10-19,1899-12-30
300131.SZ,2010-10-19,1899-12-30
300132.SZ,2010-10-26,1899-12-30
300133.SZ,2010-10-26,1899-12-30
300134.SZ,2010-10-26,1899-12-30
300135.SZ,2010-10-26,1899-12-30
300136.SZ,2010-11-05,1899-12-30
300137.SZ,2010-11-05,1899-12-30
300138.SZ,2010-11-05,1899-12-30
300139.SZ,2010-11-12,1899-12-30
300140.SZ,2010-11-12,1899-12-30
300141.SZ,2010-11-12,1899-12-30
300142.SZ,2010-11-12,1899-12-30
300143.SZ,2010-12-09,1899-12-30
300144.SZ,2010-12-09,1899-12-30
300145.SZ,2010-12-09,1899-12-30
300146.SZ,2010-12-15,1899-12-30
300147.SZ,2010-12-15,1899-12-30
300148.SZ,2010-12-15,1899-12-30
300149.SZ,2010-12-22,1899-12-30
300150.SZ,2010-12-22,1899-12-30
300151.SZ,2010-12-22,1899-12-30
300152.SZ,2010-12-29,1899-12-30
300153.SZ,2010-12-29,1899-12-30
300154.SZ,2010-12-29,1899-12-30
300155.SZ,2011-01-07,1899-12-30
300156.SZ,2011-01-07,2020-08-25
300157.SZ,2011-01-07,1899-12-30
300158.SZ,2011-01-07,1899-12-30
300159.SZ,2011-01-07,1899-12-30
300160.SZ,2011-01-13,1899-12-30
300161.SZ,2011-01-13,1899-12-30
300162.SZ,2011-01-13,1899-12-30
300163.SZ,2011-01-13,1899-12-30
300164.SZ,2011-01-13,1899-12-30
300165.SZ,2011-01-25,1899-12-30
300166.SZ,2011-01-25,1899-12-30
300167.SZ,2011-01-25,1899-12-30
300168.SZ,2011-01-25,1899-12-30
300169.SZ,2011-01-25,1899-12-30
300170.SZ,2011-02-01,1899-12-30
300171.SZ,2011-02-01,1899-12-30
300172.SZ,2011-02-01,1899-12-30
300173.SZ,2011-02-01,1899-12-30
300174.SZ,2011-02-01,1899-12-30
300175.SZ,2011-02-15,1899-12-30
300176.SZ,2011-02-15,1899-12-30
300177.SZ,2011-02-15,1899-12-30
300178.SZ,2011-02-15,1899-12-30
300179.SZ,2011-02-15,1899-12-30
300180.SZ,2011-02-22,1899-12-30
300181.SZ,2011-02-22,1899-12-30
300182.SZ,2011-02-22,1899-12-30
300183.SZ,2011-02-22,1899-12-30
300184.SZ,2011-02-22,1899-12-30
300185.SZ,2011-03-08,1899-12-30
300186.SZ,2011-03-08,2015-11-02
300187.SZ,2011-03-08,1899-12-30
300188.SZ,2011-03-16,1899-12-30
300189.SZ,2011-03-16,1899-12-30
300190.SZ,2011-03-16,1899-12-30
300191.SZ,2011-03-16,1899-12-30
300192.SZ,2011-03-22,1899-12-30
300193.SZ,2011-03-22,1899-12-30
300194.SZ,2011-03-22,1899-12-30
300195.SZ,2011-03-29,1899-12-30
300196.SZ,2011-03-29,1899-12-30
300197.SZ,2011-03-29,1899-12-30
300198.SZ,2011-04-07,1899-12-30
300199.SZ,2011-04-07,1899-12-30
300200.SZ,2011-04-07,1899-12-30
300201.SZ,2011-04-07,1899-12-30
300202.SZ,2011-04-15,1899-12-30
300203.SZ,2011-04-15,1899-12-30
300204.SZ,2011-04-15,1899-12-30
300205.SZ,2011-04-21,1899-12-30
300206.SZ,2011-04-21,1899-12-30
300207.SZ,2011-04-21,1899-12-30
300208.SZ,2011-04-26,1899-12-30
300209.SZ,2011-04-26,1899-12-30
300210.SZ,2011-04-26,1899-12-30
300211.SZ,2011-05-05,1899-12-30
300212.SZ,2011-05-05,1899-12-30
300213.SZ,2011-05-05,1899-12-30
300214.SZ,2011-05-11,1899-12-30
300215.SZ,2011-05-11,1899-12-30
300216.SZ,2011-05-11,2020-09-16
300217.SZ,2011-05-18,1899-12-30
300218.SZ,2011-05-18,1899-12-30
300219.SZ,2011-05-18,1899-12-30
300220.SZ,2011-05-25,1899-12-30
300221.SZ,2011-05-25,1899-12-30
300222.SZ,2011-05-25,1899-12-30
300223.SZ,2011-05-31,1899-12-30
300224.SZ,2011-05-31,1899-12-30
300225.SZ,2011-05-31,1899-12-30
300226.SZ,2011-06-08,1899-12-30
300227.SZ,2011-06-08,1899-12-30
300228.SZ,2011-06-08,1899-12-30
300229.SZ,2011-06-15,1899-12-30
300230.SZ,2011-06-15,1899-12-30
300231.SZ,2011-06-15,1899-12-30
300232.SZ,2011-06-22,1899-12-30
300233.SZ,2011-06-22,1899-12-30
300234.SZ,2011-06-22,1899-12-30
300235.SZ,2011-06-29,1899-12-30
300236.SZ,2011-06-29,1899-12-30
300237.SZ,2011-06-29,1899-12-30
300238.SZ,2011-07-06,1899-12-30
300239.SZ,2011-07-06,1899-12-30
300240.SZ,2011-07-06,1899-12-30
300241.SZ,2011-07-12,1899-12-30
300242.SZ,2011-07-12,1899-12-30
300243.SZ,2011-07-12,1899-12-30
300244.SZ,2011-07-19,1899-12-30
300245.SZ,2011-07-19,1899-12-30
300246.SZ,2011-07-19,1899-12-30
300247.SZ,2011-07-29,1899-12-30
300248.SZ,2011-07-29,1899-12-30
300249.SZ,2011-08-03,1899-12-30
300250.SZ,2011-08-03,1899-12-30
300251.SZ,2011-08-03,1899-12-30
300252.SZ,2011-08-18,1899-12-30
300253.SZ,2011-08-18,1899-12-30
300254.SZ,2011-08-19,1899-12-30
300255.SZ,2011-08-19,1899-12-30
300256.SZ,2011-08-19,1899-12-30
300257.SZ,2011-08-19,1899-12-30
300258.SZ,2011-08-26,1899-12-30
300259.SZ,2011-08-31,1899-12-30
300260.SZ,2011-09-06,1899-12-30
300261.SZ,2011-09-06,1899-12-30
300262.SZ,2011-09-16,1899-12-30
300263.SZ,2011-09-16,1899-12-30
300264.SZ,2011-09-16,1899-12-30
300265.SZ,2011-09-16,1899-12-30
300266.SZ,2011-09-27,1899-12-30
300267.SZ,2011-09-27,1899-12-30
300268.SZ,2011-09-27,1899-12-30
300269.SZ,2011-10-12,1899-12-30
300270.SZ,2011-10-12,1899-12-30
300271.SZ,2011-10-26,1899-12-30
300272.SZ,2011-11-02,1899-12-30
300273.SZ,2011-10-26,1899-12-30
300274.SZ,2011-11-02,1899-12-30
300275.SZ,2011-11-02,1899-12-30
300276.SZ,2011-11-15,1899-12-30
300277.SZ,2011-11-23,1899-12-30
300278.SZ,2011-12-16,1899-12-30
300279.SZ,2011-12-29,1899-12-30
300280.SZ,2011-12-29,1899-12-30
300281.SZ,2011-12-29,1899-12-30
300282.SZ,2011-12-29,1899-12-30
300283.SZ,2012-01-10,1899-12-30
300284.SZ,2012-01-10,1899-12-30
300285.SZ,2012-01-13,1899-12-30
300286.SZ,2012-01-13,1899-12-30
300287.SZ,2012-02-01,1899-12-30
300288.SZ,2012-02-16,1899-12-30
300289.SZ,2012-02-16,1899-12-30
300290.SZ,2012-02-16,1899-12-30
300291.SZ,2012-02-09,1899-12-30
300292.SZ,2012-02-29,1899-12-30
300293.SZ,2012-03-08,1899-12-30
300294.SZ,2012-03-08,1899-12-30
300295.SZ,2012-03-15,1899-12-30
300296.SZ,2012-03-15,1899-12-30
300297.SZ,2012-03-15,1899-12-30
300298.SZ,2012-03-19,1899-12-30
300299.SZ,2012-03-19,1899-12-30
300300.SZ,2012-03-19,1899-12-30
300301.SZ,2012-03-21,1899-12-30
300302.SZ,2012-03-21,1899-12-30
300303.SZ,2012-03-19,1899-12-30
300304.SZ,2012-03-21,1899-12-30
300305.SZ,2012-03-29,1899-12-30
300306.SZ,2012-03-29,1899-12-30
300307.SZ,2012-03-29,1899-12-30
300308.SZ,2012-04-10,1899-12-30
300309.SZ,2012-04-10,1899-12-30
300310.SZ,2012-04-25,1899-12-30
300311.SZ,2012-04-25,1899-12-30
300312.SZ,2012-05-08,1899-12-30
300313.SZ,2012-04-25,1899-12-30
300314.SZ,2012-05-08,1899-12-30
300315.SZ,2012-05-11,1899-12-30
300316.SZ,2012-05-11,1899-12-30
300317.SZ,2012-05-11,1899-12-30
300318.SZ,2012-05-23,1899-12-30
300319.SZ,2012-05-23,1899-12-30
300320.SZ,2012-06-01,1899-12-30
300321.SZ,2012-05-23,1899-12-30
300322.SZ,2012-06-08,1899-12-30
300323.SZ,2012-06-01,1899-12-30
300324.SZ,2012-06-08,1899-12-30
300325.SZ,2012-06-01,1899-12-30
300326.SZ,2012-06-13,1899-12-30
300327.SZ,2012-06-13,1899-12-30
300328.SZ,2012-06-19,1899-12-30
300329.SZ,2012-06-19,1899-12-30
300330.SZ,2012-06-19,1899-12-30
300331.SZ,2012-06-28,1899-12-30
300332.SZ,2012-06-28,1899-12-30
300333.SZ,2012-06-28,1899-12-30
300334.SZ,2012-07-05,1899-12-30
300335.SZ,2012-07-10,1899-12-30
300336.SZ,2012-07-10,1899-12-30
300337.SZ,2012-07-18,1899-12-30
300338.SZ,2012-07-26,1899-12-30
300339.SZ,2012-07-18,1899-12-30
300340.SZ,2012-07-26,1899-12-30
300341.SZ,2012-07-26,1899-12-30
300342.SZ,2012-07-26,1899-12-30
300343.SZ,2012-08-01,1899-12-30
300344.SZ,2012-08-01,1899-12-30
300345.SZ,2012-08-01,1899-12-30
300346.SZ,2012-08-07,1899-12-30
300347.SZ,2012-08-17,1899-12-30
300348.SZ,2012-08-17,1899-12-30
300349.SZ,2012-08-17,1899-12-30
300350.SZ,2012-08-21,1899-12-30
300351.SZ,2012-09-20,1899-12-30
300352.SZ,2012-09-12,1899-12-30
300353.SZ,2012-09-27,1899-12-30
300354.SZ,2012-09-20,1899-12-30
300355.SZ,2012-09-27,1899-12-30
300356.SZ,2012-10-09,1899-12-30
300357.SZ,2014-01-21,1899-12-30
300358.SZ,2014-01-21,1899-12-30
300359.SZ,2014-01-21,1899-12-30
300360.SZ,2014-01-21,1899-12-30
300362.SZ,2014-01-21,1899-12-30
300363.SZ,2014-01-29,1899-12-30
300364.SZ,2015-01-21,1899-12-30
300365.SZ,2014-01-23,1899-12-30
300366.SZ,2014-01-27,1899-12-30
300367.SZ,2014-01-29,1899-12-30
300368.SZ,2014-01-23,1899-12-30
300369.SZ,2014-01-29,1899-12-30
300370.SZ,2014-01-23,1899-12-30
300371.SZ,2014-01-23,1899-12-30
300372.SZ,2014-01-27,2017-08-28
300373.SZ,2014-01-23,1899-12-30
300374.SZ,2015-03-19,1899-12-30
300375.SZ,2014-01-27,1899-12-30
300376.SZ,2014-01-27,1899-12-30
300377.SZ,2014-01-27,1899-12-30
300378.SZ,2014-01-27,1899-12-30
300379.SZ,2014-01-28,1899-12-30
300380.SZ,2014-01-28,1899-12-30
300381.SZ,2014-01-28,1899-12-30
300382.SZ,2014-01-29,1899-12-30
300383.SZ,2014-01-29,1899-12-30
300384.SZ,2014-08-01,1899-12-30
300385.SZ,2014-06-26,1899-12-30
300386.SZ,2014-06-26,1899-12-30
300387.SZ,2014-07-02,1899-12-30
300388.SZ,2014-08-01,1899-12-30
300389.SZ,2014-08-01,1899-12-30
300390.SZ,2014-07-31,1899-12-30
300391.SZ,2014-08-01,1899-12-30
300392.SZ,2014-09-10,1899-12-30
300393.SZ,2014-09-12,1899-12-30
300394.SZ,2015-02-17,1899-12-30
300395.SZ,2014-09-10,1899-12-30
300396.SZ,2014-09-10,1899-12-30
300397.SZ,2014-09-10,1899-12-30
300398.SZ,2014-10-09,1899-12-30
300399.SZ,2014-10-09,1899-12-30
300400.SZ,2014-10-10,1899-12-30
300401.SZ,2014-10-09,1899-12-30
300402.SZ,2014-10-10,1899-12-30
300403.SZ,2014-10-30,1899-12-30
300404.SZ,2015-04-24,1899-12-30
300405.SZ,2014-10-30,1899-12-30
300406.SZ,2014-10-30,1899-12-30
300407.SZ,2014-12-03,1899-12-30
300408.SZ,2014-12-03,1899-12-30
300409.SZ,2014-12-03,1899-12-30
300410.SZ,2014-12-31,1899-12-30
300411.SZ,2014-12-31,1899-12-30
300412.SZ,2014-12-31,1899-12-30
300413.SZ,2015-01-21,1899-12-30
300414.SZ,2015-05-13,1899-12-30
300415.SZ,2015-01-23,1899-12-30
300416.SZ,2015-01-22,1899-12-30
300417.SZ,2015-01-23,1899-12-30
300418.SZ,2015-01-21,1899-12-30
300419.SZ,2015-01-22,1899-12-30
300420.SZ,2015-02-17,1899-12-30
300421.SZ,2015-02-17,1899-12-30
300422.SZ,2015-02-17,1899-12-30
300423.SZ,2015-02-17,1899-12-30
300424.SZ,2015-04-22,1899-12-30
300425.SZ,2015-02-16,1899-12-30
300426.SZ,2015-02-17,1899-12-30
300427.SZ,2015-02-17,1899-12-30
300428.SZ,2015-03-19,1899-12-30
300429.SZ,2015-03-24,1899-12-30
300430.SZ,2015-03-19,1899-12-30
300431.SZ,2015-03-24,2020-11-10
300432.SZ,2015-03-19,1899-12-30
300433.SZ,2015-03-18,1899-12-30
300434.SZ,2015-04-24,1899-12-30
300435.SZ,2015-03-26,1899-12-30
300436.SZ,2015-04-22,1899-12-30
300437.SZ,2015-04-23,1899-12-30
300438.SZ,2015-04-24,1899-12-30
300439.SZ,2015-04-22,1899-12-30
300440.SZ,2015-04-23,1899-12-30
300441.SZ,2015-04-23,1899-12-30
300442.SZ,2015-04-24,1899-12-30
300443.SZ,2015-04-22,1899-12-30
300444.SZ,2015-04-23,1899-12-30
300445.SZ,2015-04-24,1899-12-30
300446.SZ,2015-04-23,1899-12-30
300447.SZ,2015-04-22,1899-12-30
300448.SZ,2015-04-24,1899-12-30
300449.SZ,2015-04-22,1899-12-30
300450.SZ,2015-05-18,1899-12-30
300451.SZ,2015-05-14,1899-12-30
300452.SZ,2015-05-15,1899-12-30
300453.SZ,2015-05-15,1899-12-30
300454.SZ,2018-05-16,1899-12-30
300455.SZ,2015-05-15,1899-12-30
300456.SZ,2015-05-14,1899-12-30
300457.SZ,2015-05-14,1899-12-30
300458.SZ,2015-05-15,1899-12-30
300459.SZ,2015-05-15,1899-12-30
300460.SZ,2015-05-15,1899-12-30
300461.SZ,2015-05-19,1899-12-30
300462.SZ,2015-05-27,1899-12-30
300463.SZ,2015-05-28,1899-12-30
300464.SZ,2015-06-10,1899-12-30
300465.SZ,2015-05-28,1899-12-30
300466.SZ,2015-05-28,1899-12-30
300467.SZ,2015-05-27,1899-12-30
300468.SZ,2015-05-27,1899-12-30
300469.SZ,2015-06-11,1899-12-30
300470.SZ,2015-06-12,1899-12-30
300471.SZ,2015-06-11,1899-12-30
300472.SZ,2015-06-11,1899-12-30
300473.SZ,2015-06-12,1899-12-30
300474.SZ,2016-03-31,1899-12-30
300475.SZ,2015-06-10,1899-12-30
300476.SZ,2015-06-11,1899-12-30
300477.SZ,2015-06-10,1899-12-30
300478.SZ,2015-06-10,1899-12-30
300479.SZ,2015-06-12,1899-12-30
300480.SZ,2015-07-02,1899-12-30
300481.SZ,2015-06-30,1899-12-30
300482.SZ,2015-06-30,1899-12-30
300483.SZ,2015-06-30,1899-12-30
300484.SZ,2016-03-22,1899-12-30
300485.SZ,2015-06-26,1899-12-30
300486.SZ,2015-06-30,1899-12-30
300487.SZ,2015-07-02,1899-12-30
300488.SZ,2015-07-01,1899-12-30
300489.SZ,2015-07-01,1899-12-30
300490.SZ,2015-12-31,1899-12-30
300491.SZ,2015-12-31,1899-12-30
300492.SZ,2015-12-23,1899-12-30
300493.SZ,2015-12-10,1899-12-30
300494.SZ,2015-12-31,1899-12-30
300495.SZ,2015-12-22,1899-12-30
300496.SZ,2015-12-10,1899-12-30
300497.SZ,2015-12-22,1899-12-30
300498.SZ,2015-11-02,1899-12-30
300499.SZ,2016-02-02,1899-12-30
300500.SZ,2016-02-04,1899-12-30
300501.SZ,2016-02-04,1899-12-30
300502.SZ,2016-03-03,1899-12-30
300503.SZ,2016-03-09,1899-12-30
300504.SZ,2018-03-30,1899-12-30
300505.SZ,2016-03-15,1899-12-30
300506.SZ,2016-03-24,1899-12-30
300507.SZ,2016-04-29,1899-12-30
300508.SZ,2016-04-19,1899-12-30
300509.SZ,2016-04-25,1899-12-30
300510.SZ,2016-05-06,1899-12-30
300511.SZ,2016-05-04,1899-12-30
300512.SZ,2016-05-26,1899-12-30
300513.SZ,2016-05-30,1899-12-30
300514.SZ,2017-04-26,1899-12-30
300515.SZ,2016-06-08,1899-12-30
300516.SZ,2016-06-02,1899-12-30
300517.SZ,2016-07-19,1899-12-30
300518.SZ,2016-06-24,1899-12-30
300519.SZ,2016-06-24,1899-12-30
300520.SZ,2016-07-08,1899-12-30
300521.SZ,2016-07-05,1899-12-30
300522.SZ,2016-07-05,1899-12-30
300523.SZ,2016-07-26,1899-12-30
